shopId,shopName,region,price,avgPrice,star,commentNum,secondCatName,salesVolume,groupDealTitle,marketPrice,userComment
157269669,花开院子.花园火锅,南岸区,98,72,5,640,火锅,300,花园火锅2人餐，提供免费WiFi,159,288味道赞-269环境优雅-178菜品健康-139牛肉赞-126上菜快-119回头客-10分量足-7交通便利-4朋友聚餐-3闺蜜聚会-
182590493,金妈家烤肉,江北区,1,98,4.4,198,烧烤,3142,金猪布丁1只，提供免费WiFi,8,53服务热情-47味道赞-30菜品不错-22性价比高-21环境优雅-18牛肉赞-14回头客-10主食赞-8价格高-3分量少-
159527150,霸王虾·重庆招牌麻辣小龙虾,渝北区,298,102,3.3,160,小吃快餐,561,超值欢乐3-4人餐,336.8,65味道赞-22分量足-21服务热情-12上菜快-11菜品不错-6肉类好-5海鲜棒-5主食赞-13价格高-8性价比低-
165582298,花码头老火锅,渝中区,1,84,3.8,1195,火锅,809,火锅伴侣2选1，提供免费WiFi,8,301服务热情-262环境优雅-247味道赞-164干净整洁-144上菜快-143菜品精致-139价格实惠-4回头客-3朋友聚餐-32分量少-
194266827,锅哥有料老火锅,渝北区,67,,5,3,火锅,,,,
50006552,纸盐河码头火锅,渝中区,1,82,4.4,5672,火锅,461,大福1份，提供免费WiFi,8,309菜品健康-287高大上-278上菜快-64夜景赞-26回头客-5海鲜棒-119有江景-7朋友聚餐-4请客-3闺蜜聚会-
193588741,猪猪象泰国餐厅,江北区,198,91,5,49,东南亚菜,76,2人豪华冬阴功火锅套餐，包间免费,368,12味道赞-12服务热情-9环境优雅-7价格实惠-6菜品健康-5分量足-5性价比高-3上菜快-
179620162,奈九居酒屋,九龙坡区,1,84,3.5,78,日本菜,781,特色大福1份，提供免费WiFi,6,18味道赞-17环境优雅-16菜品不错-12服务热情-7肉类好-7干净整洁-6分量足-5回头客-4价格实惠-4性价比高-
164685434,月半,渝中区,98,46,5,2231,川菜,4814,吃了不胖的双人餐,168,644分量足-596菜品不错-547上菜快-168回头客-60肉类好-23海鲜棒-11交通便利-7主食赞-4高大上-4弄堂小店-
90015885,桃太郎,南岸区,108,34,5,8028,日本菜,10858,桃太郎超值双人餐,162,487上菜快-435回头客-91肉类好-52停车方便-19海鲜棒-46朋友聚餐-13闺蜜聚会-3弄堂小店-3工作餐-3现做现卖-
150457845,埠口精酿·夜景西餐酒吧,南岸区,218,84,5,959,西餐,1870,2-3人经典套餐,304,79上菜快-79饮品赞-58回头客-31夜景赞-21高大上-8肉类好-17有江景-12下午茶-7朋友聚餐-5闺蜜聚会-
192498372,纽玩披萨,南岸区,168,82,4.3,38,西餐,697,2-3人精致丰盛套餐,231,8味道赞-8环境优雅-8服务热情-6菜品不错-6干净整洁-4上菜快-5沙拉-
192561753,集渔·泰式海鲜火锅,渝北区,28,118,3.8,19,火锅,1524,爆浆蛋糕1份，提供免费WiFi,48,5味道赞-
169977800,石灰市老火锅,渝北区,69,,4,133,火锅,,,,4味道赞-3服务热情-
195142859,简茉蛋糕,沙坪坝区,36,35,4.2,8,面包甜点,19,网红便当盒子1份,38,4干净整洁-3点心好-3味道赞-3服务热情-
155357261,king大志烤肉黑毛牛专门店,渝中区,1,195,4.6,157,日本菜,1164,肥牛1份（80g）,68,47味道赞-43服务热情-31菜品不错-30肉类好-19上菜快-18干净整洁-12性价比高-10主食赞-11分量少-7价格高-
132009940,古镇大院老火锅,江北区,118,48,5,400,火锅,235,超值4人餐，提供免费WiFi,213,119味道赞-96服务热情-56分量足-54性价比高-53菜品健康-45价格实惠-36环境优雅-33回头客-9上菜快-4肉类好-
194752272,守柴炉烤鸭•藕然间,南岸区,98,50,4,35,北京菜,143,烤鸭 2人餐，提供免费WiFi,140,5环境优雅-5服务热情-4味道赞-3上菜快-3干净整洁-3烤鸭-
193415662,周师兄腰片老火锅,渝中区,3,98,4.9,173,火锅,1792,重庆冰粉1份，提供免费WiFi,6,55服务热情-50味道赞-33上菜快-28肉类好-28分量足-26菜品健康-24干净整洁-23环境优雅-16性价比高-7价格高-
175262629,耙二哥腰片王老火锅,渝北区,82,,4,76,火锅,,,,6味道赞-4干净整洁-4体验很棒-3服务热情-
