shopId,shopName,region,price,avgPrice,star,commentNum,secondCatName,salesVolume,groupDealTitle,marketPrice,userComment
180671397,小未音乐酒肆,沙坪坝区,108,64,5,99,川菜,233,双人餐，提供免费WiFi,172,48环境优雅-45味道赞-43服务热情-28性价比高-28体验很棒-23价格实惠-20上菜快-18菜品精致-5夜景赞-5分量足-
159151037,Pizza Maru比萨麦如,江北区,139,76,5,753,西餐,565,比萨麦如2人新,177,110味道赞-71环境优雅-52分量足-48上菜快-35菜品精致-34交通便利-15回头客-8肉类好-5主食赞-5现做现卖-
105279272,全民撸串·烧烤串串,渝北区,98,66,5,3705,烧烤,494,全民撸串双人豪华烤串套餐,132,150味道赞-77环境优雅-76服务热情-47分量足-35交通便利-34菜品精致-28回头客-3撸串圣地-63上菜慢-34停车不便-
193994167,青禾料理,渝北区,268,112,4.4,10,日本菜,46,晚市双人餐，提供免费WiFi,538,5味道赞-5服务热情-4上菜快-4环境优雅-
116657156,景轩火锅,渝北区,798,277,3.8,40,火锅,22,黑珍珠尊享套餐，建议4人使用,906,9服务热情-7味道赞-3高大上-3干净整洁-3价格高-
187199784,牛小时牛腩煲,江北区,138,63,4.7,291,粤菜,1164,双人餐，提供免费WiFi,178,116味道赞-86环境优雅-76分量足-58菜品不错-42牛肉赞-40上菜快-12回头客-3夜景赞-3主食赞-4文艺清新-
842591621,周记螺蛳鸡梁山鸡,九龙坡区,158,35,4.6,18,川菜,75,4人吃螺蛳鸡，提供免费WiFi,267,15味道赞-12价格实惠-10菜品不错-9性价比高-9服务热情-6肉类好-5分量足-5干净整洁-4交通便利-
98552925,虾皇,九龙坡区,268,92,4.4,2258,小吃快餐,329,虾皇3-4人餐，提供免费WiFi,311,76回头客-75分量足-75菜品不错-43上菜快-40高大上-15海鲜棒-8夜景赞-4肉类好-18有江景-3朋友聚餐-
72377854,盛天传统川菜馆,渝中区,128,56,4.7,1954,川菜,4715,镇店之宝专享套餐，建议3-4人使用,160,252味道赞-132分量足-100菜品不错-89上菜快-61交通便利-32回头客-9高大上-7夜景赞-4肉类好-10有江景-
194814281,受气牛肉,渝北区,85,,4.5,0,火锅,,,,
96103627,斗十千料理の和牛炭火烧,江北区,298,156,4.2,135,日本菜,299,招牌双人餐，提供免费WiFi,458,25环境优雅-20味道赞-14干净整洁-10菜品精致-7停车方便-7高大上-6性价比低-5价格高-4分量少-3上菜慢-
194778884,鱼来坊金汤藤椒鱼,沙坪坝区,118,70,3.5,3,火锅,660,藤椒鱼2-3人餐,187,
188406435,南之山烘焙·NbooksBakery,渝北区,48,50,4,0,饮品店,2,精致单人餐，提供免费WiFi,60,
4116499,辛麻道老火锅,渝北区,148,65,3.5,281,火锅,262,火锅3-4人餐，有赠品,193,80味道赞-48服务热情-31上菜快-30分量足-27价格实惠-25菜品健康-22干净整洁-18环境优雅-15肉类好-3回头客-
169315851,三更老火锅,九龙坡区,25,58,4,324,火锅,69,冰镇红糖醪糟小汤圆5份,40,72味道赞-52菜品不错-50服务热情-37环境优雅-37干净整洁-34上菜快-11肉类好-8回头客-8弄堂小店-12分量少-
214446,小滨楼·经典重庆名小吃,渝中区,49,63,3.9,1782,川菜,18,小吃双人餐，提供免费WiFi,86,109点心好-62上菜快-45回头客-9高大上-5牛肉赞-3停车方便-3海鲜棒-15请客-3朋友聚餐-215分量少-
40800003,胖妹老火锅,渝中区,75,,4.3,9,火锅,,,,5性价比高-4回头客-4味道赞-4服务热情-3菜品不错-3价格实惠-3环境优雅-
190422855,桃太郎,沙坪坝区,108,53,4.2,187,日本菜,10856,桃太郎超值双人餐,162,45味道赞-43分量足-32环境优雅-27上菜快-26服务热情-24性价比高-14价格实惠-13菜品精致-9回头客-3肉类好-
194153458,土货九宫格火锅,渝中区,1,79,5,92,火锅,1197,手工冰汤圆1份，提供免费WiFi,6,31服务热情-24味道赞-18环境优雅-15菜品健康-12干净整洁-9性价比高-7分量足-6价格实惠-
193415662,周师兄腰片老火锅,渝中区,3,98,4.9,173,火锅,1792,重庆冰粉1份，提供免费WiFi,6,55服务热情-50味道赞-33上菜快-28肉类好-28分量足-26菜品健康-24干净整洁-23环境优雅-16性价比高-7价格高-
195078230,壹狸拾甜,渝中区,168,54,4,2,面包甜点,23,悸动+富士山下+饮品两杯1份,208,
